record_type,family_id,family_name,segment_id,taxonomy_segment,repo_segment,planet,target_field_id,operation,applicability,source_brand,source_channel,source_type,connection_method,evidence_ceiling,visibility,freshness_rule,consent_requirement,activation_rule,rationale,authority_reference,status,implementation_note
segment_baseline,F2,Vocal Artist,11,Booking Market & Commercial Offer,Booking Market & Commercials,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,12,"Reputation, Trust & Reliability","Reputation, Trust & Reviews",proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,13,Network & Industry Access,Network & Industry Access,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,14,"Business, Legal & Rights Readiness","Business, Legal & Rights",prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,15,Technical & Production Readiness,Technical & Production,live,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,16,"Team, Management & Execution","Team, Management & Execution",prokit,,set_segment_default,supporting,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,17,Monetization & Commercial Health,Monetization & Commercials,prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F2,Vocal Artist,18,Career Trajectory & Opportunity Fit,Observed Career History & Change,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,01,Identity & Entity Resolution,Identity & Entity Resolution,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,02,Positioning & Brand,Positioning & Brand,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,03,Catalog / Repertoire,Catalogue / Repertoire,music,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,04,Creative Quality & Differentiation,Creative Quality & Differentiation,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,05,Streaming Consumption & Discovery,Streaming Consumption,music,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,06,Audience & Fanbase,Audience & Fanbase,audience,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,07,Social & Content Engine,Social & Content Engine,audience,,set_segment_default,supporting,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,08,Owned Community / CRM,Owned Community / CRM,audience,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,09,Live Footprint & Performance Capability,Live Footprint & Performance,live,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,10,"Ticketing, Draw & Event Economics","Ticketing, Draw & Event Evidence",proof,,set_segment_default,na,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,11,Booking Market & Commercial Offer,Booking Market & Commercials,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,12,"Reputation, Trust & Reliability","Reputation, Trust & Reviews",proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,13,Network & Industry Access,Network & Industry Access,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,14,"Business, Legal & Rights Readiness","Business, Legal & Rights",prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,15,Technical & Production Readiness,Technical & Production,live,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,16,"Team, Management & Execution","Team, Management & Execution",prokit,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,17,Monetization & Commercial Health,Monetization & Commercials,prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F3,Instrumental Artist,18,Career Trajectory & Opportunity Fit,Observed Career History & Change,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,01,Identity & Entity Resolution,Identity & Entity Resolution,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,02,Positioning & Brand,Positioning & Brand,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,03,Catalog / Repertoire,Catalogue / Repertoire,music,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,04,Creative Quality & Differentiation,Creative Quality & Differentiation,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,05,Streaming Consumption & Discovery,Streaming Consumption,music,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,06,Audience & Fanbase,Audience & Fanbase,audience,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,07,Social & Content Engine,Social & Content Engine,audience,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,08,Owned Community / CRM,Owned Community / CRM,audience,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,09,Live Footprint & Performance Capability,Live Footprint & Performance,live,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,10,"Ticketing, Draw & Event Economics","Ticketing, Draw & Event Evidence",proof,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,11,Booking Market & Commercial Offer,Booking Market & Commercials,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,12,"Reputation, Trust & Reliability","Reputation, Trust & Reviews",proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,13,Network & Industry Access,Network & Industry Access,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,14,"Business, Legal & Rights Readiness","Business, Legal & Rights",prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,15,Technical & Production Readiness,Technical & Production,live,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,16,"Team, Management & Execution","Team, Management & Execution",prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,17,Monetization & Commercial Health,Monetization & Commercials,prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F4,Band / Ensemble,18,Career Trajectory & Opportunity Fit,Observed Career History & Change,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,01,Identity & Entity Resolution,Identity & Entity Resolution,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,02,Positioning & Brand,Positioning & Brand,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,03,Catalog / Repertoire,Catalogue / Repertoire,music,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,04,Creative Quality & Differentiation,Creative Quality & Differentiation,identity,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,05,Streaming Consumption & Discovery,Streaming Consumption,music,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,06,Audience & Fanbase,Audience & Fanbase,audience,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,07,Social & Content Engine,Social & Content Engine,audience,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,08,Owned Community / CRM,Owned Community / CRM,audience,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,09,Live Footprint & Performance Capability,Live Footprint & Performance,live,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,10,"Ticketing, Draw & Event Economics","Ticketing, Draw & Event Evidence",proof,,set_segment_default,conditional,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,11,Booking Market & Commercial Offer,Booking Market & Commercials,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,12,"Reputation, Trust & Reliability","Reputation, Trust & Reviews",proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,13,Network & Industry Access,Network & Industry Access,proof,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,14,"Business, Legal & Rights Readiness","Business, Legal & Rights",prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,15,Technical & Production Readiness,Technical & Production,live,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,16,"Team, Management & Execution","Team, Management & Execution",prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
segment_baseline,F5,Live Electronic / Hybrid / Multidisciplinary Artist,17,Monetization & Commercial Health,Monetization & Commercials,prokit,,set_segment_default,required,,,,,,,,,,Canonical family-level baseline; field-level rules may override.,https://docs.google.com/spreadsheets/d/1niGUdY-aSuWkVJy-FC1CyybgpEtKI2hDbhhwilHEXcw#Radar-Applicability,canonical,Apply to inherited F1 fields in this segment only where no explicit field-level override exists.
